Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
17:30:00,24.5,0.082,0.082,0.081,0.081,0.082,0.103,0.082,0.084,0.08,0.205,0.172,0.316,0.128,0.2,0.131,0.082,0.085,0.128,0.139,0.129,0.126,0.126,0.131,0.082,0.081,0.165,0.143,0.31,0.127,0.218,0.131,0.082,0.084,0.128,0.13,0.136,0.131,0.132,0.134,0.083,0.082,0.085,0.083,0.084,0.082,0.081,0.081,0.085
18:00:00,24.5,0.082,0.081,0.081,0.081,0.082,0.104,0.082,0.084,0.079,0.191,0.157,0.296,0.128,0.212,0.131,0.082,0.085,0.128,0.139,0.129,0.126,0.126,0.13,0.082,0.081,0.175,0.143,0.309,0.127,0.206,0.13,0.082,0.084,0.128,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
18:30:00,24.5,0.082,0.081,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.183,0.154,0.298,0.128,0.219,0.131,0.082,0.085,0.128,0.139,0.129,0.126,0.126,0.13,0.082,0.08,0.177,0.143,0.286,0.127,0.212,0.131,0.082,0.084,0.128,0.13,0.136,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.083,0.081,0.081,0.085
19:00:00,24.5,0.082,0.081,0.081,0.081,0.082,0.103,0.082,0.084,0.08,0.17,0.165,0.298,0.128,0.208,0.131,0.082,0.085,0.128,0.139,0.129,0.127,0.126,0.13,0.082,0.081,0.188,0.143,0.256,0.127,0.211,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.083,0.081,0.081,0.085
19:30:00,24.5,0.081,0.081,0.081,0.081,0.082,0.103,0.081,0.084,0.079,0.212,0.168,0.345,0.128,0.21,0.131,0.082,0.085,0.128,0.139,0.129,0.127,0.126,0.13,0.082,0.081,0.179,0.144,0.222,0.127,0.202,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
20:00:00,24.5,0.082,0.081,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.186,0.164,0.339,0.127,0.202,0.131,0.082,0.085,0.128,0.14,0.13,0.127,0.126,0.13,0.082,0.081,0.181,0.144,0.195,0.127,0.211,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.082,0.085,0.084,0.083,0.083,0.081,0.081,0.085
20:30:00,24.5,0.081,0.082,0.08,0.081,0.082,0.103,0.081,0.084,0.079,0.146,0.187,0.336,0.128,0.198,0.131,0.082,0.085,0.128,0.14,0.129,0.127,0.126,0.13,0.082,0.081,0.19,0.144,0.175,0.127,0.211,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.081,0.085,0.083,0.083,0.083,0.081,0.081,0.085
21:00:00,24.5,0.082,0.082,0.081,0.081,0.082,0.103,0.082,0.084,0.08,0.146,0.186,0.317,0.127,0.202,0.131,0.082,0.085,0.128,0.14,0.13,0.127,0.126,0.13,0.082,0.081,0.181,0.144,0.161,0.127,0.211,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.131,0.134,0.083,0.081,0.085,0.083,0.083,0.082,0.081,0.081,0.085
21:30:00,24.5,0.082,0.081,0.081,0.081,0.082,0.102,0.082,0.084,0.079,0.214,0.18,0.288,0.128,0.21,0.131,0.082,0.085,0.128,0.14,0.13,0.127,0.126,0.13,0.082,0.081,0.193,0.144,0.152,0.127,0.212,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.083,0.082,0.085,0.084,0.084,0.083,0.081,0.081,0.085
22:00:00,24.5,0.081,0.081,0.081,0.081,0.082,0.103,0.082,0.084,0.079,0.142,0.165,0.257,0.127,0.223,0.131,0.082,0.085,0.128,0.141,0.13,0.127,0.126,0.13,0.082,0.081,0.167,0.144,0.154,0.127,0.186,0.13,0.082,0.084,0.127,0.13,0.135,0.131,0.132,0.134,0.084,0.082,0.085,0.084,0.083,0.083,0.081,0.082,0.085
